created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Jun 29 23:01:52 +0000 2023;1674553800873627650;"@adriansyahyasin padahal nih yah..  ga usah pada banyak cingcong itu orang2 surabaya, bandung, medan  kalo mereka ada niat, mereka bisa bikin transportasi umum sendiri. kayak di jkt misalnya, sebelum jaklingko, itu banyak org jkt inisiatif bikin perusahaan angkutan swasta. mobil carry tu misal";0;1;0;0;in;778692608;1674382027599249408;akubukanako;https://twitter.com/akubukanako/status/1674553800873627650
Thu Jun 29 15:54:42 +0000 2023;1674446300312637442;"Bisa naik jaklingko dari cipayung ke tamini 0 rupiah aja wkwkwk tp agak lumayan si jalannya dari asrama ke gapura cpygnya";0;0;0;0;in;1049355268331429889;1674446300312637442;monstraykidsix;https://twitter.com/monstraykidsix/status/1674446300312637442
Thu Jun 29 15:55:25 +0000 2023;1674446482752303108;"gw banget lagi terus naik jaklingko gratis ke pelni";0;0;0;0;in;2613955315;1674446482752303108;mr_maycoqheurt;https://twitter.com/mr_maycoqheurt/status/1674446482752303108
Thu Jun 29 16:20:00 +0000 2023;1674452669405233152;"Ya mesti dibuat Stasiun baru, karna Stasiun terdekat di Ancol Halte Busway JIS mesti di aktifkan dan terintegrasi dengan JakLingko  JIS memang perlu diperbaiki di beberapa aspek";0;0;0;0;in;323810023;1674452669405233152;itswe2716;https://twitter.com/itswe2716/status/1674452669405233152
Thu Jun 29 15:27:06 +0000 2023;1674439353463087105;"Nilai tauladan yg bisa diambil dari nunggu jaklingko jam segini adalah yakin dan sabar kalau pasti ada jaklingko yg masih lewat";0;0;0;0;in;841870407741370369;1674439353463087105;bitvh_lit;https://twitter.com/bitvh_lit/status/1674439353463087105
Thu Jun 29 15:01:29 +0000 2023;1674432909095342087;"keluar rs, nunggu jaklingko bentar lgsg ada, nunggu di halte buat naik tj bentar, lgsg ada jg, transit nunggu bentar lg lgsg ada jg dannnn itu semua lowong alias ga ada tu war duduk... makasiiiii yg long weekend aku happy ko hehe, soalnya sepi dan aman";0;0;0;0;in;1315765782;1674432904485806082;bucinjalaninjaq;https://twitter.com/bucinjalaninjaq/status/1674432909095342087
Thu Jun 29 14:41:36 +0000 2023;1674427902610513920;"@PT_Transjakarta min kartu jaklingko ini bisa buat masuk ragunan ga ya? https://t.co/UtetMyJghQ";1;1;0;0;in;1249354043022913541;1674427902610513920;00RJFA;https://twitter.com/00RJFA/status/1674427902610513920
Thu Jun 29 14:51:21 +0000 2023;1674430356722950147;"Sopir2 jaklingko skrng jutek2 bgt bjirrr";0;1;0;0;in;1115617564959207425;1674430356722950147;lkjhgTJ;https://twitter.com/lkjhgTJ/status/1674430356722950147
Thu Jun 29 13:50:45 +0000 2023;1674415108389498883;"@geugouia Jangan lupakan angkot JakLingko yg gratis itu. Asli deh di Jakarta tuh enak transportasinya, tinggal pinter2 milih rute dan sesuaikan waktu perjalanan aja.";0;1;0;0;in;806429400119984128;1674404691147649024;ragurna;https://twitter.com/ragurna/status/1674415108389498883
Thu Jun 29 13:41:13 +0000 2023;1674412708874297345;"tadi aku naik angkot jaklingko for the firsttt time wkwkwkwk agak nunggu setengah jam sih tp ok bgt udah free trus bus stop nya jd pas dikosan aku";0;0;0;0;in;233533244;1674412708874297345;sarahsuray;https://twitter.com/sarahsuray/status/1674412708874297345
